satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,sales_IT,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,left
0.67,0.7,0.2,0.24766355140186916,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.97,0.96,0.2,0.5420560747663551,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.6,0.55,0.4,0.5046728971962616,0.125,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0
0.41,0.4,0.0,0.45794392523364486,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.68,0.76,0.2,0.7663551401869159,0.25,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.86,0.91,0.4,0.6448598130841121,0.125,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.72,0.99,0.4,0.6682242990654206,0.125,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0
0.53,0.95,0.0,0.02336448598130841,0.375,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.55,0.96,0.2,0.45794392523364486,0.125,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0
0.69,0.86,0.4,0.6635514018691588,0.125,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0
0.97,0.38,0.6,0.5373831775700935,0.625,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.09,0.8,0.8,0.9719626168224299,0.375,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1
0.75,0.97,0.6,0.6869158878504673,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1
0.1,0.85,0.8,0.794392523364486,0.25,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.49,0.77,0.2,0.5373831775700935,0.125,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0
0.84,0.63,0.0,0.308411214953271,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.7,0.66,0.2,0.2570093457943925,0.0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0
0.53,0.7,0.2,0.19626168224299065,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.53,0.85,0.6,0.3037383177570093,0.0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.6,0.69,0.8,0.719626168224299,0.375,1,0,0.0,0,0,0,0,1,0,0,0,0,0,0
0.74,0.89,0.6,0.7616822429906542,0.375,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1
0.69,0.49,0.2,0.4766355140186916,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.97,0.91,0.2,0.7009345794392523,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0
0.61,0.97,0.8,0.8878504672897196,0.25,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0
0.66,0.63,0.2,0.32710280373831774,0.125,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0
0.59,0.84,0.4,0.7242990654205608,0.25,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0
0.63,0.65,0.4,0.7009345794392523,0.5,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0
0.99,0.86,0.4,0.4672897196261682,0.0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0
0.72,0.92,0.2,0.6822429906542056,0.75,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.73,0.93,0.4,0.308411214953271,0.0,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0
0.11,0.9,0.8,0.7336448598130841,0.25,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1
0.69,0.68,0.2,0.2570093457943925,0.125,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0
0.38,0.47,0.0,0.22429906542056074,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.41,0.57,0.0,0.29906542056074764,0.125,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
0.09,0.89,1.0,0.9906542056074766,0.375,0,0,0.5,0,0,0,1,0,0,0,0,0,0,1
0.59,0.48,0.6,0.7990654205607477,0.125,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.91,0.78,0.2,0.8084112149532711,0.125,1,0,1.0,0,0,0,0,0,0,0,0,0,1,0
0.39,0.57,0.0,0.14485981308411214,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.69,0.94,0.6,0.7616822429906542,0.0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
0.41,0.47,0.0,0.16355140186915887,0.125,0,0,0.5,0,0,0,0,0,1,0,0,0,0,1
0.44,0.48,0.0,0.21962616822429906,0.125,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1
0.44,0.53,0.0,0.24766355140186916,0.125,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.44,0.44,0.0,0.2102803738317757,0.625,1,1,1.0,0,0,0,0,1,0,0,0,0,0,0
0.62,0.77,0.2,0.8177570093457944,0.0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
0.85,0.98,0.6,0.7102803738317757,0.375,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1
0.38,0.54,0.0,0.14953271028037382,0.125,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.86,0.84,0.6,0.5887850467289719,0.375,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1
0.2,0.56,0.6,0.397196261682243,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
0.51,0.84,0.4,0.5981308411214953,0.0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
0.9,0.88,0.6,0.7383177570093458,0.0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0
0.99,0.87,0.4,0.308411214953271,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0
0.72,0.84,0.4,0.7476635514018691,0.375,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1
0.67,0.64,0.2,0.5,0.0,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0.9,1.0,0.4,0.6214953271028038,0.375,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
0.1,0.84,0.8,0.7009345794392523,0.25,0,0,0.5,0,0,0,1,0,0,0,0,0,0,1
